128up	FBgn0176208	FBgn0182597	
Tsp42Er	FBgn0175809	FBgn0182226	
Tsp47F	FBgn0175316	FBgn0197183	
Tsp5D	FBgn0167535	FBgn0187846	
Tsp66A	FBgn0169768	FBgn0185715	
Tsp66E	FBgn0179961	FBgn0185825	
Tsp74F	FBgn0179157	FBgn0184094	
Tsp86D	FBgn0178774	FBgn0190242	
Tsp96F	FBgn0165160	FBgn0189698	
Tsp97E	FBgn0165105	FBgn0189651	
Ttc19	FBgn0171950	FBgn0193206	
Tudor-SN	FBgn0169213	FBgn0197001	
Tusp	FBgn0171260	FBgn0192779	
TwdlBeta	FBgn0175289	FBgn0197160	
TwdlC	FBgn0165307	FBgn0192756	
TwdlD	FBgn0165288	FBgn0192736	
TwdlE	FBgn0168219	FBgn0193864	
TwdlF	FBgn0165684	FBgn0191199	
TwdlG	FBgn0165665	FBgn0191185	
TwdlH	FBgn0165285	FBgn0192733	
TwdlJ	FBgn0165282	FBgn0192731	
TwdlK	FBgn0165126	FBgn0189669	
TwdlM	FBgn0165281	FBgn0192730	
TwdlN	FBgn0165283	FBgn0192732	
TwdlO	FBgn0165127	FBgn0189670	
TwdlP	FBgn0165130	FBgn0189673	
TwdlQ	FBgn0165123	FBgn0189666	
TwdlR	FBgn0165286	FBgn0192734	
TwdlS	FBgn0165287	FBgn0192735	
TwdlU	FBgn0165683	FBgn0191198	
TwdlV	FBgn0165685	FBgn0191201	
TwdlW	FBgn0170300	FBgn0191724	
TwdlX	FBgn0168393	FBgn0188863	
Twdlalpha	FBgn0175436	FBgn0188866	
Txl	FBgn0169639	FBgn0185594	
TyrR	FBgn0170265	FBgn0191694	
TyrRII	FBgn0170182	FBgn0190691	
U26	FBgn0167845	FBgn0193805	
U2A	FBgn0175649	FBgn0182004	
U2af38	FBgn0171592	FBgn0194360	
U2af50	FBgn0168337	FBgn0195829	
U3-55K	FBgn0175055	FBgn0196934	
U4-U6-60K	FBgn0179191	FBgn0184132	
UBL3	FBgn0177389	FBgn0196002	
UGP	FBgn0179747	FBgn0184662	
Uba1	FBgn0175468	FBgn0181832	
Uba2	FBgn0179831	FBgn0184741	
Uba3	FBgn0176378	FBgn0182751	
Ubc-E2H	FBgn0166158	FBgn0085116	
Ubc12	FBgn0179821	FBgn0184732	
Ubc84D	FBgn0165423	FBgn0190974	
UbcD10	FBgn0174831	FBgn0196731	
UbcD2	FBgn0166400	FBgn0193636	
UbcD4	FBgn0180037	FBgn0185893	
UbcD6	FBgn0165615	FBgn0191136	
Ube3a	FBgn0179627	FBgn0184539	
Ubp64E	FBgn0169637	FBgn0185593	
Ubpy	FBgn0169989	FBgn0190902	
Ubqn	FBgn0177850	FBgn0187425	
Ubx	FBgn0170327	FBgn0014820	
Uch	FBgn0173163	FBgn0194259	
Uch-L3	FBgn0179729	FBgn0184644	
Ucp4A	FBgn0177727	FBgn0186614	
Ucp4B	FBgn0173492	FBgn0194759	
Ucp4C	FBgn0173491	FBgn0194758	
Ude	FBgn0178331	FBgn0189804	
Uev1A	FBgn0168852	FBgn0184923	
Ufd1-like	FBgn0179632	FBgn0184545	
Ugt	FBgn0169920	FBgn0186451	
Ugt35a	FBgn0180978	FBgn0192147	
Ugt35b	FBgn0180979	FBgn0192148	
Ugt37a1	FBgn0178198	FBgn0193129	
Ugt58Fa	FBgn0170546	FBgn0196429	
Ugt86Da	FBgn0178784	FBgn0190253	
Ugt86Dd	FBgn0180988	FBgn0192152	
Ugt86Dh	FBgn0178786	FBgn0190255	
Ugt86Dj	FBgn0180977	FBgn0192146	
Unr	FBgn0179800	FBgn0189139	
Updo	FBgn0176016	FBgn0182432	
Upf1	FBgn0168172	FBgn0195973	
Upf2	FBgn0166162	FBgn0187768	
Upf3	FBgn0170414	FBgn0196312	
Uro	FBgn0171472	FBgn0194866	
Use1	FBgn0179752	FBgn0184665	
Usf	FBgn0167622	FBgn0187920	
Usp7	FBgn0168158	FBgn0187594	
Utx	FBgn0166809	FBgn0193690	
Uvrag	FBgn0165327	FBgn0195254	
VGAT	FBgn0175109	FBgn0186901	
VGlut	FBgn0173247	FBgn0194544	
Vago	FBgn0166395	FBgn0188581	
Vap-33-1	FBgn0167254	FBgn0188256	
Vdup1	FBgn0169225	FBgn0185248	
Vha100-3	FBgn0174746	FBgn0196643	
Vha100-5	FBgn0174083	FBgn0195157	
Vha13	FBgn0181749	FBgn0191587	
Vha14-1	FBgn0175009	FBgn0196891	
Vha14-2	FBgn0165801	FBgn0191326	
Vha16-1	FBgn0175750	FBgn0182093	
Vha16-2	FBgn0180134	FBgn0185993	
Vha16-3	FBgn0180133	FBgn0185992	
Vha16-4	FBgn0174908	FBgn0196800	
Vha16-5	FBgn0166426	FBgn0193639	
Vha26	FBgn0165764	FBgn0191286	
Vha36-2	FBgn0176231	FBgn0182611	
Vha44	FBgn0174946	FBgn0196831	
Vha55	FBgn0180851	FBgn0192024	
VhaAC39-1	FBgn0167251	FBgn0188250	
VhaAC39-2	FBgn0178452	FBgn0189926	
VhaAC45	FBgn0175990	FBgn0182411	
VhaM8.9	FBgn0178656	FBgn0190124	
VhaM9.7-b	FBgn0177251	FBgn0186643	
VhaM9.7-c	FBgn0168932	FBgn0185002	
VhaM9.7-d	FBgn0170108	FBgn0190629	
VhaPPA1-1	FBgn0180670	FBgn0191863	
VhaPPA1-2	FBgn0180672	FBgn0191865	
VhaSFD	FBgn0172076	FBgn0193320	
Vhl	FBgn0176154	FBgn0084620	
Victoria	FBgn0171893	FBgn0193150	
Vkor	FBgn0176600	FBgn0182968	
Vm26Aa	FBgn0172890	FBgn0194020	
Vm26Ab	FBgn0173490	FBgn0194757	
Vm32E	FBgn0166052	FBgn0193593	
Vmat	FBgn0175155	FBgn0197036	
Vps16A	FBgn0178657	FBgn0190125	
Vps16B	FBgn0167155	FBgn0189202	
Vps20	FBgn0170841	FBgn0183420	
Vps25	FBgn0175931	FBgn0182353	
Vps28	FBgn0175609	FBgn0186962	
Vps33B	FBgn0165194	FBgn0192668	
Vps35	FBgn0170811	FBgn0183392	
Vps4	FBgn0177735	FBgn0188934	
Vps45	FBgn0178681	FBgn0190146	
Vsx2	FBgn0167578	FBgn0187884	
Vti1	FBgn0169185	FBgn0185227	
W	FBgn0169869	FBgn0184082	
WASp	FBgn0167218	FBgn0189560	
WDR79	FBgn0172865	FBgn0193998	
WRNexo	FBgn0173615	FBgn0191656	
Wbp2	FBgn0180234	FBgn0186093	
Wdr82	FBgn0171833	FBgn0194910	
Whamy	FBgn0181067	FBgn0192223	
Wnk	FBgn0177000	FBgn0183846	
Wnt10	FBgn0171307	FBgn0194842	
Wnt2	FBgn0176008	FBgn0182426	
Wnt4	FBgn0168514	FBgn0193903	
Wnt5	FBgn0177675	FBgn0084925	
Wnt6	FBgn0171292	FBgn0085995	
Wsck	FBgn0178341	FBgn0189815	
Wwox	FBgn0168155	FBgn0193854	
X11L	FBgn0168447	FBgn0187336	
X11Lbeta	FBgn0166371	FBgn0188562	
XNP	FBgn0165192	FBgn0189730	
XRCC1	FBgn0167339	FBgn0188312	
Xbp1	FBgn0170725	FBgn0183308	
Xe7	FBgn0165547	FBgn0191084	
Xpd	FBgn0170729	FBgn0183312	
Xport	FBgn0181734	FBgn0191572	
Xrp1	FBgn0172804	FBgn0190762	
YL-1	FBgn0173674	FBgn0195116	
YT521-B	FBgn0168982	FBgn0185047	
Yippee	FBgn0166437	FBgn0187540	
Ykt6	FBgn0166925	FBgn0188454	
Yp1	FBgn0166347	FBgn0188548	
Yp2	FBgn0012788	FBgn0012859	
Z600	FBgn0180387	FBgn0186226	
ZAP3	FBgn0166281	FBgn0187681	
ZC3H3	FBgn0179796	FBgn0184706	
ZIP1	FBgn0175738	FBgn0195690	
Zasp66	FBgn0179937	FBgn0185806	
Zfrp8	FBgn0173217	FBgn0183576	
Zif	FBgn0165843	FBgn0191364	
Zip3	FBgn0170064	FBgn0190594	
Zir	FBgn0171626	FBgn0194391	
Zn72D	FBgn0179308	FBgn0184242	
ZnT35C	FBgn0169433	FBgn0193383	
ZnT63C	FBgn0169479	FBgn0185454	
Zpr1	FBgn0168604	FBgn0187717	
Zyx	FBgn0167942	FBgn0195706	
a10	FBgn0179217	FBgn0184162	
a5	FBgn0171727	FBgn0194484	
a6	FBgn0173862	FBgn0195960	
aPKC	FBgn0175047	FBgn0196927	
aay	FBgn0180007	FBgn0185867	
ab	FBgn0173865	FBgn0195143	
abd-A	FBgn0170323	FBgn0191744	
abo	FBgn0166192	FBgn0193617	
adat	FBgn0170042	FBgn0193457	
ade2	FBgn0172874	FBgn0194006	
ade3	FBgn0168586	FBgn0193920	
ade5	FBgn0166478	FBgn0187568	
adp	FBgn0176726	FBgn0183092	
aft	FBgn0176701	FBgn0183066	
ago	FBgn0168923	FBgn0184993	
agt	FBgn0165483	FBgn0191029	
akirin	FBgn0169757	FBgn0185706	
al	FBgn0171649	FBgn0194411	
alc	FBgn0175510	FBgn0181876	
ald	FBgn0170176	FBgn0190685	
alien	FBgn0167520	FBgn0193774	
alpha-Adaptin	FBgn0171584	FBgn0194353	
alpha-Cat	FBgn0177355	FBgn0183783	
alpha-Est1	FBgn0165415	FBgn0190968	
alpha-Est10	FBgn0165429	FBgn0190978	
alpha-Est2	FBgn0165911	FBgn0191424	
alpha-Est3	FBgn0165416	FBgn0190969	
alpha-Est5	FBgn0165419	FBgn0190970	
alpha-Est6	FBgn0165421	FBgn0027804	
alpha-Est7	FBgn0165422	FBgn0190972	
alpha-Est8	FBgn0165424	FBgn0190975	
alpha-Man-II	FBgn0178669	FBgn0190137	
alpha-Man-IIb	FBgn0179126	FBgn0190557	
alpha-Man-Ib	FBgn0167203	FBgn0189542	
alpha-Spec	FBgn0169095	FBgn0185150	
alpha-catenin-related	FBgn0170985	FBgn0187121	
alpha4GT1	FBgn0173082	FBgn0183738	
alpha4GT2	FBgn0165218	FBgn0192687	
alphaKap4	FBgn0168810	FBgn0184884	
alphaPS5	FBgn0170942	FBgn0183515	
alphaTub84B	FBgn0165876	FBgn0191393	
alphaTub84D	FBgn0165910	FBgn0191423	
alphaTub85E	FBgn0181078	FBgn0192232	
alrm	FBgn0172623	FBgn0189734	
aly	FBgn0169020	FBgn0084450	
amd	FBgn0172236	FBgn0018304	
amon	FBgn0165122	FBgn0189665	
amos	FBgn0171995	FBgn0193248	
amx	FBgn0177197	FBgn0195895	
ana	FBgn0175968	FBgn0182391	
ana1	FBgn0181462	FBgn0192562	
ana2	FBgn0175541	FBgn0181908	
antdh	FBgn0166201	FBgn0187643	
aop	FBgn0178539	FBgn0194265	
aos	FBgn0179260	FBgn0184196	
ap	FBgn0171416	FBgn0182124	
aph-1	FBgn0173271	FBgn0194569	
apt	FBgn0170946	FBgn0183518	
ara	FBgn0180213	FBgn0186071	
aralar1	FBgn0167095	FBgn0188640	
aret	FBgn0181616	FBgn0195198	
arg	FBgn0173975	FBgn0188116	
ari-2	FBgn0170812	FBgn0183394	
arm	FBgn0173844	FBgn0188022	
armi	FBgn0169496	FBgn0185467	
ase	FBgn0173966	FBgn0188111	
asf1	FBgn0174521	FBgn0186492	
ash1	FBgn0172354	FBgn0184003	
ash2	FBgn0181468	FBgn0192569	
asp	FBgn0181475	FBgn0192578	
asparagine-synthetase	FBgn0177213	FBgn0186608	
asrij	FBgn0170884	FBgn0183460	
ast	FBgn0171698	FBgn0194456	
asun	FBgn0170061	FBgn0190591	
atilla	FBgn0181128	FBgn0193535	
atl	FBgn0181467	FBgn0192567	
atms	FBgn0165721	FBgn0191237	
ato	FBgn0178580	FBgn0190053	
att-ORFA	FBgn0178053	FBgn0191540	
aub	FBgn0166170	FBgn0193614	
aur	FBgn0178854	FBgn0190309	
aust	FBgn0167465	FBgn0193769	
aux	FBgn0165681	FBgn0191197	
ave	FBgn0176448	FBgn0182831	
awd	FBgn0171336	FBgn0187960	
az2	FBgn0175665	FBgn0182021	
b	FBgn0170184	FBgn0195294	
b6	FBgn0174064	FBgn0186159	
babo	FBgn0175965	FBgn0182387	
babos	FBgn0170561	FBgn0196444	
baf	FBgn0171589	FBgn0194877	
bai	FBgn0172696	FBgn0192611	
ball	FBgn0165113	FBgn0189658	
bam	FBgn0172647	FBgn0084466	
bap	FBgn0067536	FBgn0067504	
barr	FBgn0171882	FBgn0193142	
baz	FBgn0168423	FBgn0188891	
bbc	FBgn0175157	FBgn0197037	
bbx	FBgn0177950	FBgn0189083	
bc10	FBgn0169629	FBgn0185586	
bcd	FBgn0012791	FBgn0012864	
bcn92	FBgn0173818	FBgn0188007	
bdg	FBgn0174994	FBgn0196874	
be	FBgn0166992	FBgn0188751	
beag	FBgn0181140	FBgn0192284	
beat-IIIa	FBgn0172136	FBgn0195456	
beat-IIIb	FBgn0172133	FBgn0195453	
beat-IIIc	FBgn0172048	FBgn0193296	
beat-IIa	FBgn0170290	FBgn0191716	
beat-IIb	FBgn0170294	FBgn0191718	
beat-IV	FBgn0181363	FBgn0192473	
beat-Ia	FBgn0173558	FBgn0195396	
beat-Ib	FBgn0172829	FBgn0193347	
beat-Ic	FBgn0173556	FBgn0195394	
beat-VI	FBgn0171297	FBgn0192809	
beat-Va	FBgn0180833	FBgn0192008	
beat-Vb	FBgn0178930	FBgn0190375	
beat-Vc	FBgn0180837	FBgn0192012	
beg	FBgn0180540	FBgn0186366	
bel	FBgn0181181	FBgn0192315	
ben	FBgn0172557	FBgn0188718	
beta'Cop	FBgn0165414	FBgn0195265	
beta4GalNAcTA	FBgn0176405	FBgn0182795	
beta4GalNAcTB	FBgn0167206	FBgn0189546	
beta4GalT7	FBgn0084181	FBgn0084229	
betaCop	FBgn0177690	FBgn0187305	
betaTub56D	FBgn0174714	FBgn0196617	
betaggt-I	FBgn0173411	FBgn0194695	
betaggt-II	FBgn0173285	FBgn0194582	
bgcn	FBgn0170421	FBgn0085884	
bgm	FBgn0170375	FBgn0195312	
bi	FBgn0167282	FBgn0188280	
bib	FBgn0172758	FBgn0195024	
bic	FBgn0176309	FBgn0182687	
bif	FBgn0168032	FBgn0188612	
bigmax	FBgn0165062	FBgn0186798	
bin	FBgn0169732	FBgn0185679	
bin3	FBgn0171456	FBgn0182174	
bip1	FBgn0179837	FBgn0184747	
bip2	FBgn0181633	FBgn0187142	
blanks	FBgn0168848	FBgn0184919	
blos1	FBgn0176437	FBgn0182823	
blos2	FBgn0180103	FBgn0185961	
blos4	FBgn0180090	FBgn0189183	
blot	FBgn0179200	FBgn0184142	
blow	FBgn0175657	FBgn0182012	
blp	FBgn0179135	FBgn0190566	
blue	FBgn0179424	FBgn0184362	
blw	FBgn0170867	FBgn0183444	
bmm	FBgn0179391	FBgn0184325	
bnb	FBgn0177653	FBgn0041666	
bnk	FBgn0167855	FBgn0192987	
bnl	FBgn0181744	FBgn0191581	
boca	FBgn0175658	FBgn0182013	
bocksbeutel	FBgn0181093	FBgn0192243	
boly	FBgn0175576	FBgn0186946	
bon	FBgn0177990	FBgn0190863	
bond	FBgn0181296	FBgn0192418	
bonsai	FBgn0170845	FBgn0183422	
bor	FBgn0170366	FBgn0191777	
bora	FBgn0169903	FBgn0186434	
borr	FBgn0167454	FBgn0193768	
botv	FBgn0176810	FBgn0183178	
bou	FBgn0172405	FBgn0188412	
bowl	FBgn0173342	FBgn0194642	
brk	FBgn0172421	FBgn0188424	
brn	FBgn0167261	FBgn0188259	
brp	FBgn0176011	FBgn0187051	
bru	FBgn0178184	FBgn0193114	
bru-3	FBgn0179445	FBgn0184378	
brv1	FBgn0173444	FBgn0184015	
brv2	FBgn0179205	FBgn0184147	
bs	FBgn0166795	FBgn0183591	
bsf	FBgn0172000	FBgn0193252	
bsh	FBgn0171900	FBgn0193156	
bsk	FBgn0166853	FBgn0193697	
btn	FBgn0178499	FBgn0189968	
btv	FBgn0172018	FBgn0193269	
btz	FBgn0171268	FBgn0192786	
bur	FBgn0178135	FBgn0193069	
burs	FBgn0181227	FBgn0192356	
bves	FBgn0177928	FBgn0189061	
bw	FBgn0170453	FBgn0196351	
bwa	FBgn0172298	FBgn0195590	
by	FBgn0181104	FBgn0192253	
byn	FBgn0180168	FBgn0186024	
bys	FBgn0166921	FBgn0188449	
c(2)M	FBgn0173571	FBgn0195408	
c(3)G	FBgn0180610	FBgn0191803	
c-cup	FBgn0171497	FBgn0194283	
c11.1	FBgn0177111	FBgn0187706	
c12.1	FBgn0177089	FBgn0195987	
ca	FBgn0167763	FBgn0192904	
cact	FBgn0172817	FBgn0067503	
cad	FBgn0178236	FBgn0195628	
cag	FBgn0175366	FBgn0186927	
cal1	FBgn0170127	FBgn0190643	
calypso	FBgn0174966	FBgn0196847	
can	FBgn0179675	FBgn0184589	
cana	FBgn0173876	FBgn0195144	
capa	FBgn0167144	FBgn0189136	
capaR	FBgn0176998	FBgn0183844	
caps	FBgn0180264	FBgn0186120	
capt	FBgn0171537	FBgn0194318	
capu	FBgn0173023	FBgn0194121	
car	FBgn0177835	FBgn0189001	
cas	FBgn0165544	FBgn0191081	
casp	FBgn0174979	FBgn0196859	
cathD	FBgn0175634	FBgn0181992	
cato	FBgn0174953	FBgn0196837	
caup	FBgn0180216	FBgn0186073	
cav	FBgn0181426	FBgn0250857	
caz	FBgn0168349	FBgn0188834	
cbc	FBgn0175158	FBgn0197038	
cbt	FBgn0171577	FBgn0194348	
cbx	FBgn0175454	FBgn0181818	
cd	FBgn0181312	FBgn0192432	
cdc14	FBgn0168229	FBgn0193868	
cdc16	FBgn0181350	FBgn0192465	
cdc2	FBgn0166638	FBgn0193672	
cdc2c	FBgn0178000	FBgn0190873	
cdc2rk	FBgn0175437	FBgn0197284	
cdi	FBgn0178208	FBgn0191615	
cdm	FBgn0170245	FBgn0191679	
ced-6	FBgn0175483	FBgn0181848	
cenB1A	FBgn0181342	FBgn0192457	
cenG1A	FBgn0170261	FBgn0195301	
cer	FBgn0174720	FBgn0196622	
cert	FBgn0179816	FBgn0184728	
cg	FBgn0176397	FBgn0182788	
chas	FBgn0168231	FBgn0188905	
chb	FBgn0177215	FBgn0186610	
cher	FBgn0170305	FBgn0191728	
chic	FBgn0172886	FBgn0083419	
chico	FBgn0166864	FBgn0193698	
chif	FBgn0172809	FBgn0193330	
chm	FBgn0171359	FBgn0194851	
chn	FBgn0176470	FBgn0182855	
chp	FBgn0167041	FBgn0188162	
chrb	FBgn0180135	FBgn0185995	
ci	FBgn0178104	FBgn0012866	
cib	FBgn0167262	FBgn0188260	
cid	FBgn0044211	FBgn0044191	
cin	FBgn0173956	FBgn0188107	
ck	FBgn0169476	FBgn0193388	
ckd	FBgn0169473	FBgn0185449	
ckn	FBgn0176466	FBgn0182850	
cl	FBgn0173458	FBgn0194731	
clos	FBgn0175475	FBgn0181841	
clt	FBgn0170621	FBgn0196495	
cm	FBgn0172393	FBgn0187799	
cmpy	FBgn0177067	FBgn0183908	
cn	FBgn0175639	FBgn0181995	
cngl	FBgn0164991	FBgn0187457	
cni	FBgn0172818	FBgn0193337	
cnk	FBgn0174872	FBgn0186987	
cnn	FBgn0175161	FBgn0197042	
coil	FBgn0175603	FBgn0181965	
cola	FBgn0175577	FBgn0186947	
cold	FBgn0171666	FBgn0194426	
colt	FBgn0173106	FBgn0194198	
comm	FBgn0179328	FBgn0184266	
comm2	FBgn0179329	FBgn0184267	
comr	FBgn0170596	FBgn0196471	
cona	FBgn0172774	FBgn0190734	
conv	FBgn0176406	FBgn0182796	
cora	FBgn0176816	FBgn0183185	
cort	FBgn0168919	FBgn0193955	
cos	FBgn0175684	FBgn0182039	
cpa	FBgn0170714	FBgn0183299	
cpb	FBgn0171740	FBgn0194500	
cpo	FBgn0170189	FBgn0190697	
cpx	FBgn0165688	FBgn0191204	
crc	FBgn0178275	FBgn0195663	
crim	FBgn0179582	FBgn0184508	
crm	FBgn0063998	FBgn0041270	
crn	FBgn0173804	FBgn0195941	
croc	FBgn0177010	FBgn0183854	
crok	FBgn0181609	FBgn0195197	
crol	FBgn0165913	FBgn0193567	
crp	FBgn0172824	FBgn0193342	
crq	FBgn0171581	FBgn0064356	
cry	FBgn0181680	FBgn0190781	
csul	FBgn0176556	FBgn0182931	
csw	FBgn0174100	FBgn0196052	
ct	FBgn0172439	FBgn0188436	
cue	FBgn0169134	FBgn0185182	
cuff	FBgn0176195	FBgn0182583	
cup	FBgn0171120	FBgn0194809	
cutlet	FBgn0173028	FBgn0194126	
cv	FBgn0167364	FBgn0188332	
cv-2	FBgn0170640	FBgn0196513	
cwo	FBgn0178745	FBgn0190212	
cyc	FBgn0171054	FBgn0183982	
cyp33	FBgn0176676	FBgn0183037	
cyr	FBgn0166154	FBgn0187763	
d	FBgn0171873	FBgn0194924	
d-cup	FBgn0178929	FBgn0190374	
dUTPase	FBgn0173707	FBgn0195124	
da	FBgn0173212	FBgn0195069	
dac	FBgn0172086	FBgn0193327	
dah	FBgn0174756	FBgn0188770	
dalao	FBgn0168653	FBgn0188511	
dally	FBgn0179959	FBgn0185823	
dan	FBgn0172721	FBgn0192634	
danr	FBgn0172715	FBgn0192630	
dao	FBgn0170898	FBgn0195359	
dap	FBgn0176028	FBgn0182445	
dare	FBgn0175335	FBgn0197199	
daw	FBgn0173274	FBgn0194572	
dbe	FBgn0171551	FBgn0194329	
dbo	FBgn0180417	FBgn0186255	
dbr	FBgn0171624	FBgn0194389	
dco	FBgn0167051	FBgn0188237	
debcl	FBgn0175763	FBgn0182183	
1-Dec	FBgn0166911	FBgn0012868	
decay	FBgn0170341	FBgn0191756	
defl	FBgn0180041	FBgn0185898	
deltaCOP	FBgn0173853	FBgn0195954	
desat2	FBgn0178900	FBgn0261743	
dgrn	FBgn0165791	FBgn0191316	
dgt1	FBgn0167151	FBgn0189178	
dgt2	FBgn0181536	FBgn0195173	
dgt3	FBgn0170678	FBgn0196549	
dgt4	FBgn0167263	FBgn0042859	
dgt5	FBgn0175241	FBgn0197117	
dgt6	FBgn0167199	FBgn0189517	
dia	FBgn0178234	FBgn0195627	
dib	FBgn0169540	FBgn0185507	
didum	FBgn0175840	FBgn0182256	
dikar	FBgn0168752	FBgn0184834	
dila	FBgn0175460	FBgn0181825	
dimm	FBgn0178276	FBgn0195665	
disp	FBgn0165531	FBgn0191069	
dj	FBgn0165868	FBgn0084596	
dj-1beta	FBgn0167839	FBgn0192973	
dl	FBgn0172039	FBgn0067500	
dlg1	FBgn0168005	FBgn0188596	
dlp	FBgn0180329	FBgn0186177	
dlt	FBgn0169094	FBgn0185149	
dm	FBgn0174168	FBgn0188233	
dmrt93B	FBgn0169982	FBgn0190895	
dmrt99B	FBgn0167741	FBgn0192885	
dmt	FBgn0178694	FBgn0190161	
dnc	FBgn0174167	FBgn0188231	
dnd	FBgn0178547	FBgn0190014	
dnk	FBgn0168575	FBgn0190766	
dnr1	FBgn0170554	FBgn0196435	
dnt	FBgn0171929	FBgn0193188	
dob	FBgn0166995	FBgn0188754	
dock	FBgn0171684	FBgn0194441	
dod	FBgn0177945	FBgn0189078	
dome	FBgn0177588	FBgn0195787	
dor	FBgn0174060	FBgn0085986	
dos	FBgn0169419	FBgn0185401	
dpn	FBgn0175588	FBgn0186956	
dpp	FBgn0173250	FBgn0015673	
dpr	FBgn0176910	FBgn0183277	
dpr10	FBgn0179682	FBgn0184596	
dpr13	FBgn0174824	FBgn0196721	
dpr14	FBgn0166905	FBgn0187776	
dpr15	FBgn0180895	FBgn0192067	
dpr16	FBgn0165737	FBgn0191254	
dpr17	FBgn0178863	FBgn0190317	
dpr18	FBgn0167915	FBgn0188826	
dpr19	FBgn0173176	FBgn0195064	
dpr20	FBgn0169173	FBgn0185215	
dpr3	FBgn0171485	FBgn0194270	
dpr4	FBgn0180950	FBgn0192123	
dpr5	FBgn0178815	FBgn0190278	
dpr6	FBgn0180060	FBgn0185917	
dpr7	FBgn0181641	FBgn0195729	
dpr8	FBgn0172585	FBgn0188741	
dpr9	FBgn0180667	FBgn0191861	
dre4	FBgn0169085	FBgn0185142	
dream	FBgn0171405	FBgn0182113	
drk	FBgn0175156	FBgn0063984	
drl	FBgn0172242	FBgn0195542	
drm	FBgn0173329	FBgn0194630	
drosha	FBgn0175872	FBgn0182290	
drpr	FBgn0169105	FBgn0185159	
dsd	FBgn0171251	FBgn0189614	
dsx-c73A	FBgn0179262	FBgn0184197	
dtr	FBgn0178278	FBgn0195667	
dup	FBgn0175023	FBgn0196904	
dwg	FBgn0181510	FBgn0188214	
dx	FBgn0167431	FBgn0188389	
dy	FBgn0167977	FBgn0018282	
dyl	FBgn0168914	FBgn0184986	
dyn-p25	FBgn0170756	FBgn0195347	
dys	FBgn0165145	FBgn0189686	
dysb	FBgn0169917	FBgn0186447	
e	FBgn0170010	FBgn0262091	
e(r)	FBgn0168624	FBgn0187451	
e(y)1	FBgn0177726	FBgn0188927	
e(y)2	FBgn0167994	FBgn0195867	
e(y)2b	FBgn0165877	FBgn0191395	
eEF1delta	FBgn0172933	FBgn0195043	
eIF-1A	FBgn0170216	FBgn0190728	
eIF-2alpha	FBgn0168330	FBgn0187410	
eIF-2beta	FBgn0179508	FBgn0184436	
eIF-3p40	FBgn0172947	FBgn0186601	
eIF-3p66	FBgn0181366	FBgn0192477	
eIF-4E	FBgn0179740	FBgn0184653	
eIF-4a	FBgn0173493	FBgn0194760	
eIF-5A	FBgn0173204	FBgn0183568	
eIF2B-alpha	FBgn0167138	FBgn0189074	
eIF2B-beta	FBgn0174141	FBgn0188213	
eIF2B-delta	FBgn0170925	FBgn0183499	
eIF2B-epsilon	FBgn0173838	FBgn0195949	
eIF2B-gamma	FBgn0176504	FBgn0182882	
eIF3-S10	FBgn0165647	FBgn0191169	
eIF3-S8	FBgn0176685	FBgn0183046	
eIF3-S9	FBgn0176671	FBgn0183033	
eIF4E-3	FBgn0179895	FBgn0185760	
eIF4E-4	FBgn0168763	FBgn0184840	
eIF4E-5	FBgn0179865	FBgn0185733	
eIF4E-6	FBgn0167208	FBgn0189547	
eIF4E-7	FBgn0173900	FBgn0188050	
eIF4G2	FBgn0178401	FBgn0189877	
eIF5	FBgn0166616	FBgn0187427	
eIF5B	FBgn0168980	FBgn0185046	
eRF1	FBgn0177148	FBgn0186548	
ea	FBgn0179084	FBgn0190519	
ear	FBgn0179083	FBgn0190517	
eas	FBgn0168347	FBgn0196149	
ebd1	FBgn0169188	FBgn0185230	
ebd2	FBgn0177015	FBgn0183859	
ebi	FBgn0171652	FBgn0194413	
ec	FBgn0167248	FBgn0068632	
eca	FBgn0181085	FBgn0192236	
ect	FBgn0179679	FBgn0184594	
ed	FBgn0173359	FBgn0194656	
edin	FBgn0180562	FBgn0186388	
edl	FBgn0174772	FBgn0196666	
eff	FBgn0180684	FBgn0191874	
egl	FBgn0170433	FBgn0196332	
egr	FBgn0176063	FBgn0182477	
elav	FBgn0173939	FBgn0188089	
elgi	FBgn0180420	FBgn0186259	
elk	FBgn0176711	FBgn0183077	
elm	FBgn0165550	FBgn0191086	
ema	FBgn0170351	FBgn0191764	
emb	FBgn0171850	FBgn0194918	
emc	FBgn0169279	FBgn0185281	
emp	FBgn0166711	FBgn0196216	
ems	FBgn0179005	FBgn0190448	
en	FBgn0044210	FBgn0044189	
ena	FBgn0176812	FBgn0183180	
enc	FBgn0169512	FBgn0185482	
endoA	FBgn0172802	FBgn0190760	
endoB	FBgn0174725	FBgn0196627	
endos	FBgn0179425	FBgn0184363	
ens	FBgn0168942	FBgn0185011	
epsilonCOP	FBgn0173538	FBgn0194797	
ergic53	FBgn0179925	FBgn0185794	
erm	FBgn0171492	FBgn0194277	
esc	FBgn0181403	FBgn0193563	
escl	FBgn0181543	FBgn0195174	
esg	FBgn0170964	FBgn0195364	
etaTry	FBgn0175324	FBgn0197187	
ewg	FBgn0173949	FBgn0188099	
ex	FBgn0171657	FBgn0194417	
